grid_id,name,coordinates
340,C2:10,"((40.762984470588236, -73.853843)(40.762984470588236, -73.85071959999999)(40.75983970588236, -73.85071959999999)(40.75983970588236, -73.853843)(40.762984470588236, -73.853843))"
340,C2:11,"((40.762984470588236, -73.85071959999999)(40.762984470588236, -73.8475962)(40.75983970588236, -73.8475962)(40.75983970588236, -73.85071959999999)(40.762984470588236, -73.85071959999999))"
340,C2:12,"((40.762984470588236, -73.8475962)(40.762984470588236, -73.8444728)(40.75983970588236, -73.8444728)(40.75983970588236, -73.8475962)(40.762984470588236, -73.8475962))"
340,C2:13,"((40.762984470588236, -73.8444728)(40.762984470588236, -73.8413494)(40.75983970588236, -73.8413494)(40.75983970588236, -73.8444728)(40.762984470588236, -73.8444728))"
340,C2:14,"((40.762984470588236, -73.8413494)(40.762984470588236, -73.83822599999999)(40.75983970588236, -73.83822599999999)(40.75983970588236, -73.8413494)(40.762984470588236, -73.8413494))"
340,C2:15,"((40.762984470588236, -73.83822599999999)(40.762984470588236, -73.8351026)(40.75983970588236, -73.8351026)(40.75983970588236, -73.83822599999999)(40.762984470588236, -73.83822599999999))"
340,C2:16,"((40.762984470588236, -73.8351026)(40.762984470588236, -73.8319792)(40.75983970588236, -73.8319792)(40.75983970588236, -73.8351026)(40.762984470588236, -73.8351026))"
340,C2:17,"((40.762984470588236, -73.8319792)(40.762984470588236, -73.8288558)(40.75983970588236, -73.8288558)(40.75983970588236, -73.8319792)(40.762984470588236, -73.8319792))"
340,C2:18,"((40.762984470588236, -73.8288558)(40.762984470588236, -73.82573239999999)(40.75983970588236, -73.82573239999999)(40.75983970588236, -73.8288558)(40.762984470588236, -73.8288558))"
340,C2:19,"((40.762984470588236, -73.82573239999999)(40.762984470588236, -73.822609)(40.75983970588236, -73.822609)(40.75983970588236, -73.82573239999999)(40.762984470588236, -73.82573239999999))"
340,C3:0,"((40.75983970588236, -73.885077)(40.75983970588236, -73.8819536)(40.75669494117647, -73.8819536)(40.75669494117647, -73.885077)(40.75983970588236, -73.885077))"
340,C3:1,"((40.75983970588236, -73.8819536)(40.75983970588236, -73.8788302)(40.75669494117647, -73.8788302)(40.75669494117647, -73.8819536)(40.75983970588236, -73.8819536))"
340,C3:2,"((40.75983970588236, -73.8788302)(40.75983970588236, -73.87570679999999)(40.75669494117647, -73.87570679999999)(40.75669494117647, -73.8788302)(40.75983970588236, -73.8788302))"
340,C3:3,"((40.75983970588236, -73.87570679999999)(40.75983970588236, -73.8725834)(40.75669494117647, -73.8725834)(40.75669494117647, -73.87570679999999)(40.75983970588236, -73.87570679999999))"
340,C3:4,"((40.75983970588236, -73.8725834)(40.75983970588236, -73.86946)(40.75669494117647, -73.86946)(40.75669494117647, -73.8725834)(40.75983970588236, -73.8725834))"
340,C3:5,"((40.75983970588236, -73.86946)(40.75983970588236, -73.8663366)(40.75669494117647, -73.8663366)(40.75669494117647, -73.86946)(40.75983970588236, -73.86946))"
