cell_id,grid_id,cell_names,coordinates
336,181398528,C2:10,0103000020E61000000100000005000000AEE1D8695ADE4540814DDB29FEDE53C0AEE1D8695ADE454015506F46CDDE53C00C6A09432EDE454015506F46CDDE53C00C6A09432EDE4540814DDB29FEDE53C0AEE1D8695ADE4540814DDB29FEDE53C0
337,181398528,C3:0,0103000020E610000001000000050000000C6A09432EDE4540B933130CE7E053C00C6A09432EDE45404D36A728B6E053C06AF2391C02DE45404D36A728B6E053C06AF2391C02DE4540B933130CE7E053C00C6A09432EDE4540B933130CE7E053C0
338,181398528,C3:1,0103000020E610000001000000050000000C6A09432EDE45404D36A728B6E053C00C6A09432EDE4540E1383B4585E053C06AF2391C02DE4540E1383B4585E053C06AF2391C02DE45404D36A728B6E053C00C6A09432EDE45404D36A728B6E053C0
339,181398528,C3:2,0103000020E610000001000000050000000C6A09432EDE4540E1383B4585E053C00C6A09432EDE4540753BCF6154E053C06AF2391C02DE4540753BCF6154E053C06AF2391C02DE4540E1383B4585E053C00C6A09432EDE4540E1383B4585E053C0
340,181398528,C3:3,0103000020E610000001000000050000000C6A09432EDE4540753BCF6154E053C00C6A09432EDE4540093E637E23E053C06AF2391C02DE4540093E637E23E053C06AF2391C02DE4540753BCF6154E053C00C6A09432EDE4540753BCF6154E053C0
341,181398528,C3:4,0103000020E610000001000000050000000C6A09432EDE4540093E637E23E053C00C6A09432EDE45409D40F79AF2DF53C06AF2391C02DE45409D40F79AF2DF53C06AF2391C02DE4540093E637E23E053C00C6A09432EDE4540093E637E23E053C0
342,181398528,C3:5,0103000020E610000001000000050000000C6A09432EDE45409D40F79AF2DF53C00C6A09432EDE454031438BB7C1DF53C06AF2391C02DE454031438BB7C1DF53C06AF2391C02DE45409D40F79AF2DF53C00C6A09432EDE45409D40F79AF2DF53C0
343,181398528,C3:6,0103000020E610000001000000050000000C6A09432EDE454031438BB7C1DF53C00C6A09432EDE4540C5451FD490DF53C06AF2391C02DE4540C5451FD490DF53C06AF2391C02DE454031438BB7C1DF53C00C6A09432EDE454031438BB7C1DF53C0
344,181398528,C3:7,0103000020E610000001000000050000000C6A09432EDE4540C5451FD490DF53C00C6A09432EDE45405948B3F05FDF53C06AF2391C02DE45405948B3F05FDF53C06AF2391C02DE4540C5451FD490DF53C00C6A09432EDE4540C5451FD490DF53C0
345,181398528,C3:8,0103000020E610000001000000050000000C6A09432EDE45405948B3F05FDF53C00C6A09432EDE4540ED4A470D2FDF53C06AF2391C02DE4540ED4A470D2FDF53C06AF2391C02DE45405948B3F05FDF53C00C6A09432EDE45405948B3F05FDF53C0
