traj_id,cell_id,cell_names
108,3239,C3:23
165,3237,C3:21
151,3725,C19:29
11,3424,C9:28
496,3720,C19:24
273,3800,C22:14
287,3442,C10:16
331,3584,C15:8
437,3917,C26:11
438,3652,C17:16
112,3702,C19:6
456,3637,C17:1
96,3609,C16:3
126,3403,C9:7
294,3960,C27:24
73,3239,C3:23
166,3833,C23:17
219,3658,C17:22
348,3718,C19:22
249,3376,C8:10
389,3800,C22:14
270,3710,C19:14
348,3688,C18:22
249,3406,C9:10
364,3333,C6:27
421,3198,C2:12
397,3261,C4:15
221,3700,C19:4
163,3530,C13:14
53,3658,C17:22
268,3484,C11:28
316,3932,C26:26
196,3902,C25:26
240,3994,C28:28
65,3459,C11:3
376,3159,C1:3
443,3893,C25:17
435,3605,C15:29
483,3977,C28:11
285,3609,C16:3
100,3765,C21:9
470,3805,C22:19
316,3962,C27:26
495,3189,C2:3
90,3363,C7:27
317,3482,C11:26
461,3174,C1:18
363,3709,C19:13
456,3667,C18:1
474,3237,C3:21
386,3201,C2:15
360,3826,C23:10
232,3791,C22:5
339,3331,C6:25
424,3227,C3:11
200,3403,C9:7
403,3854,C24:8
174,3172,C1:16
79,3378,C8:12
50,3556,C14:10
218,3333,C6:27
33,3261,C4:15
241,3514,C12:28
72,3758,C21:2
457,3675,C18:9
114,3800,C22:14
442,3800,C22:14
61,3430,C10:4
284,3937,C27:1
152,4007,C29:11
349,3686,C18:20
196,3872,C24:26
194,3132,C0:6
171,4024,C29:28
266,3487,C12:1
14,3444,C10:18
25,3917,C26:11
189,3431,C10:5
395,3176,C1:20
351,3430,C10:4
28,3567,C14:21
88,3231,C3:15
219,3688,C18:22
36,3753,C20:27
117,3207,C2:21
446,3253,C4:7
65,3429,C10:3
357,3180,C1:24
233,3910,C26:4
281,3742,C20:16
345,3571,C14:25
410,3736,C20:10
409,3719,C19:23
130,3947,C27:11
107,3884,C25:8
250,3701,C19:5
53,3688,C18:22
51,3705,C19:9
318,3895,C25:19
462,3799,C22:13
271,3571,C14:25
324,3539,C13:23
153,3779,C21:23
188,3819,C23:3
340,3496,C12:10
261,3826,C23:10
215,3825,C23:9
368,3692,C18:26
329,3471,C11:15
418,3502,C12:16
32,3911,C26:5
16,3615,C16:9
59,3804,C22:18
306,3843,C23:27
267,3671,C18:5
257,3641,C17:5
233,3940,C27:4
487,3442,C10:16
310,3710,C19:14
123,3868,C24:22
462,3829,C23:13
62,3989,C28:23
317,3512,C12:26
151,3695,C18:29
232,3821,C23:5
9,3895,C25:19
199,3199,C2:13
131,3937,C27:1
187,3725,C19:29
364,3363,C7:27
404,3902,C25:26
133,3675,C18:9
63,3387,C8:21
107,3854,C24:8
176,3779,C21:23
85,3556,C14:10
496,3690,C18:24
132,3213,C2:27
62,3959,C27:23
209,3171,C1:15
52,3765,C21:9
24,3237,C3:21
197,3884,C25:8
388,3448,C10:22
393,3815,C22:29
383,3685,C18:19
60,3490,C12:4
381,3584,C15:8
361,3377,C8:11
445,3259,C4:13
258,3591,C15:15
380,3763,C21:7
401,3620,C16:14
135,3614,C16:8
127,3845,C23:29
58,3229,C3:13
440,3254,C4:8
332,3873,C24:27
37,3682,C18:16
158,3720,C19:24
482,3301,C5:25
137,3436,C10:10
465,3213,C2:27
373,3637,C17:1
162,3757,C21:1
102,3922,C26:16
372,3278,C5:2
490,3278,C5:2
119,3278,C5:2
8,3431,C10:5
426,3250,C4:4
183,3965,C27:29
68,3376,C8:10
404,3872,C24:26
269,3562,C14:16
218,3363,C7:27
350,3262,C4:16
140,3689,C18:23
242,3986,C28:20
378,4020,C29:24
413,3918,C26:12
314,3554,C14:8
352,3938,C27:2
328,3611,C16:5
68,3406,C9:10
