null_node1,null_node2,real_node1,real_node2,cos_sim_diff
3550,3570,3550,3570,-0.6904164760873145
3550,3557,infinite,infinite,infinite
3550,3571,3550,3571,-0.9117583487385327
3550,3552,infinite,infinite,infinite
3550,3568,infinite,infinite,infinite
3550,3548,3550,3548,-0.9821827193659141
3550,3572,3550,3572,-0.6378923978145488
3551,3563,infinite,infinite,infinite
3551,3549,3551,3549,-0.9200564265847655
3551,3558,infinite,infinite,infinite
3551,3562,infinite,infinite,infinite
3551,3567,3551,3567,-0.8249903308036233
3551,3553,infinite,infinite,infinite
3551,3569,3551,3569,-0.9260103214653348
3551,3570,3551,3570,-0.6806779208054028
3551,3557,infinite,infinite,infinite
3551,3571,3551,3571,-0.9316220833256171
3551,3552,infinite,infinite,infinite
3551,3568,3551,3568,-0.8940862897251012
3551,3548,3551,3548,-0.8638883705680247
3551,3572,3551,3572,-0.7048964681893122
3563,3549,3563,3549,-0.9533423946367525
3563,3558,3563,3558,-0.9899105304810994
3563,3562,3563,3562,-0.8865668588895483
3563,3567,3563,3567,-0.8805010104415145
3563,3553,3563,3553,-0.8977208152269752
3563,3569,3563,3569,-1.0104236860344709
3563,3570,3563,3570,-1.0018024029500172
3563,3557,3563,3557,-0.8614300862122293
3563,3571,3563,3571,-0.8479414903611902
3563,3552,3563,3552,-0.9734989955468432
3563,3568,3563,3568,-0.9838159840186519
3563,3548,3563,3548,-1.0120393885458543
3563,3572,3563,3572,-0.8579483891406631
3549,3558,infinite,infinite,infinite
3549,3562,infinite,infinite,infinite
3549,3567,3549,3567,-0.7542005541271493
3549,3553,infinite,infinite,infinite
3549,3569,3549,3569,-0.7538823782133857
3549,3570,3549,3570,-0.8616821695700817
3549,3557,infinite,infinite,infinite
3549,3571,3549,3571,-0.6655123708986872
3549,3552,infinite,infinite,infinite
3549,3568,infinite,infinite,infinite
3549,3548,3549,3548,-1.000259458032917
3549,3572,3549,3572,-0.7529009241050879
3558,3562,infinite,infinite,infinite
