inter_cos,Bin limit,Bin Label,Bin Counts
0.443602548,,,
0.513083108,,,
0.599099939,,,
0.547306293,,,
0.549284803,,,
0.365331181,,,
0.357047881,,,
0.336854716,,,
0.42401648,,,
0.389967892,,,
0.285648258,,,
0.263231024,,,
0.258191184,,,
0.301865066,,,
0.50620623,,,
0.555680832,,,
0.40186769,,,
0.340543602,,,
0.360808725,,,
0.358965564,,,
0.401990611,,,
0.377187675,,,
0.382645501,,,
0.329802883,,,
0.238355929,,,
0.310541671,,,
0.32196051,,,
0.328046094,,,
0.303440253,,,
0.339507215,,,
0.53078854,,,
0.468686244,,,
0.375718496,,,
0.370374086,,,
0.509049249,,,
0.399764617,,,
0.390417983,,,
0.316553364,,,
0.370155219,,,
0.346985118,,,
0.40534562,,,
0.444896848,,,
0.412041081,,,
0.430284018,,,
0.445142888,,,
0.501833893,,,
0.622326397,,,
0.680847124,,,
0.668847882,,,
0.682477997,,,
0.336249245,,,
0.387689272,,,
0.391532241,,,
0.422835008,,,
0.437873202,,,
0.405308858,,,
0.383423548,,,
0.374717664,,,
0.38732234,,,
0.36067326,,,
0.402672763,,,
0.511543177,,,
0.50371084,,,
0.505590446,,,
0.503208296,,,
0.548301912,,,
0.55828636,,,
0.595719084,,,
0.63768365,,,
0.432443135,,,
0.440478769,,,
0.489047382,,,
0.504149147,,,
0.477024025,,,
0.493760627,,,
0.398095254,,,
0.371696821,,,
0.352937013,,,
0.508245261,,,
0.510785564,,,
0.663941958,,,
0.637299236,,,
0.683911611,,,
0.412648928,,,
0.431089906,,,
0.583201745,,,
0.517134906,,,
0.557107266,,,
0.452333397,,,
0.366567462,,,
0.366909301,,,
0.459903575,,,
0.452425268,,,
0.487887868,,,
0.521803889,,,
0.668686043,,,
0.697473617,,,
0.678983709,,,
0.688705091,,,
0.437714706,,,
0.457967007,,,
0.56496101,,,
0.526323038,,,
0.520617261,,,
0.512708659,,,
0.510644756,,,
0.414909668,,,
0.431060143,,,
0.461615591,,,
0.54562098,,,
0.553950382,,,
0.654293189,,,
0.997390894,,,
0.969148978,,,
0.966119447,,,
0.998704713,,,
0.997457204,,,
0.962717559,,,
0.981522627,,,
0.658267653,,,
0.873109409,,,
0.967287128,,,
0.981732521,,,
0.989858052,,,
0.993504853,,,
0.90992937,,,
0.97648739,,,
0.648132197,,,
0.566389378,,,
0.615884268,,,
0.70990047,,,
0.989412811,,,
0.957635375,,,
0.90911758,,,
0.811515103,,,
0.818588218,,,
0.67015146,,,
0.58413402,,,
0.549587262,,,
0.612712896,,,
0.982586293,,,
0.654880589,,,
0.646600175,,,
0.742712386,,,
0.772752199,,,
0.677108041,,,
0.704825134,,,
0.403939545,,,
0.462677293,,,
0.514431534,,,
0.859968249,,,
0.843602149,,,
0.607598779,,,
0.589654041,,,
0.603342469,,,
0.590782323,,,
0.732519507,,,
0.719601792,,,
0.713160692,,,
0.706523417,,,
0.472559444,,,
0.457720327,,,
0.52867985,,,
0.491512768,,,
0.497260893,,,
0.620634619,,,
0.563732193,,,
0.529172036,,,
0.546670182,,,
0.563603134,,,
0.708004043,,,
0.678857573,,,
0.641238336,,,
0.719653854,,,
0.48351265,,,
0.489189647,,,
0.495980376,,,
0.556215903,,,
0.531637844,,,
0.358501852,,,
0.547069024,,,
0.549659938,,,
0.577124661,,,
0.580335276,,,
0.567479671,,,
0.558992378,,,
0.639430837,,,
0.620536645,,,
0.631482174,,,
0.509687559,,,
0.509205498,,,
0.480524,,,
0.447696111,,,
0.433817962,,,
0.492179221,,,
0.495736299,,,
0.568640632,,,
0.497216522,,,
0.490923003,,,
0.57249167,,,
0.541011932,,,
