t_coordinates,poi
POINT(43.73545 -79.50966),POINT(43.7349767 -79.510133)
POINT(43.73545 -79.50966),POINT(43.7352239 -79.5090141)
POINT(43.73537 -79.50964),POINT(43.7361042 -79.5098299)
POINT(43.73537 -79.50964),POINT(43.7349767 -79.510133)
POINT(43.73537 -79.50964),POINT(43.7352239 -79.5090141)
POINT(43.73532 -79.50962),POINT(43.7361042 -79.5098299)
POINT(43.73532 -79.50962),POINT(43.7349767 -79.510133)
POINT(43.73532 -79.50962),POINT(43.7352239 -79.5090141)
POINT(43.73527 -79.50961),POINT(43.7361042 -79.5098299)
POINT(43.73527 -79.50961),POINT(43.7349767 -79.510133)
POINT(43.73527 -79.50961),POINT(43.7352239 -79.5090141)
POINT(43.73511 -79.50954),POINT(43.7349767 -79.510133)
POINT(43.73511 -79.50954),POINT(43.7352239 -79.5090141)
POINT(43.734975286598 -79.5101337449889),POINT(43.7349767 -79.510133)
POINT(43.734975286598 -79.5101337449889),POINT(43.7347606 -79.511098)
POINT(43.734840573196 -79.5107274886421),POINT(43.734502 -79.511183)
POINT(43.734840573196 -79.5107274886421),POINT(43.7349767 -79.510133)
POINT(43.734840573196 -79.5107274886421),POINT(43.7355735 -79.5109983)
POINT(43.734840573196 -79.5107274886421),POINT(43.7347606 -79.511098)
POINT(43.734840573196 -79.5107274886421),POINT(43.734826 -79.511523)
POINT(43.73484 -79.51073),POINT(43.734502 -79.511183)
POINT(43.73484 -79.51073),POINT(43.7349767 -79.510133)
POINT(43.73484 -79.51073),POINT(43.7355735 -79.5109983)
POINT(43.73484 -79.51073),POINT(43.7347606 -79.511098)
POINT(43.73484 -79.51073),POINT(43.734826 -79.511523)
POINT(43.7347110911469 -79.5113262054835),POINT(43.734502 -79.511183)
POINT(43.7347110911469 -79.5113262054835),POINT(43.734875 -79.5119137)
POINT(43.7347110911469 -79.5113262054835),POINT(43.7344927 -79.5118266)
POINT(43.7347110911469 -79.5113262054835),POINT(43.7355735 -79.5109983)
POINT(43.7347110911469 -79.5113262054835),POINT(43.7347606 -79.511098)
POINT(43.7347110911469 -79.5113262054835),POINT(43.734826 -79.511523)
POINT(43.73468 -79.51147),POINT(43.734502 -79.511183)
