grid_id,name,coordinates
70,C3:1,"POLYGON((40.746362142857144, -73.8788302)(40.746362142857144, -73.8725834)(40.738724857142856, -73.8725834)(40.738724857142856, -73.8788302)(40.746362142857144, -73.8788302))"
70,C3:2,"POLYGON((40.746362142857144, -73.8725834)(40.746362142857144, -73.8663366)(40.738724857142856, -73.8663366)(40.738724857142856, -73.8725834)(40.746362142857144, -73.8725834))"
70,C3:3,"POLYGON((40.746362142857144, -73.8663366)(40.746362142857144, -73.8600898)(40.738724857142856, -73.8600898)(40.738724857142856, -73.8663366)(40.746362142857144, -73.8663366))"
70,C3:4,"POLYGON((40.746362142857144, -73.8600898)(40.746362142857144, -73.853843)(40.738724857142856, -73.853843)(40.738724857142856, -73.8600898)(40.746362142857144, -73.8600898))"
70,C3:5,"POLYGON((40.746362142857144, -73.853843)(40.746362142857144, -73.8475962)(40.738724857142856, -73.8475962)(40.738724857142856, -73.853843)(40.746362142857144, -73.853843))"
70,C3:6,"POLYGON((40.746362142857144, -73.8475962)(40.746362142857144, -73.8413494)(40.738724857142856, -73.8413494)(40.738724857142856, -73.8475962)(40.746362142857144, -73.8475962))"
70,C3:7,"POLYGON((40.746362142857144, -73.8413494)(40.746362142857144, -73.8351026)(40.738724857142856, -73.8351026)(40.738724857142856, -73.8413494)(40.746362142857144, -73.8413494))"
70,C3:8,"POLYGON((40.746362142857144, -73.8351026)(40.746362142857144, -73.8288558)(40.738724857142856, -73.8288558)(40.738724857142856, -73.8351026)(40.746362142857144, -73.8351026))"
70,C3:9,"POLYGON((40.746362142857144, -73.8288558)(40.746362142857144, -73.822609)(40.738724857142856, -73.822609)(40.738724857142856, -73.8288558)(40.746362142857144, -73.8288558))"
70,C4:0,"POLYGON((40.738724857142856, -73.885077)(40.738724857142856, -73.8788302)(40.73108757142857, -73.8788302)(40.73108757142857, -73.885077)(40.738724857142856, -73.885077))"
70,C4:1,"POLYGON((40.738724857142856, -73.8788302)(40.738724857142856, -73.8725834)(40.73108757142857, -73.8725834)(40.73108757142857, -73.8788302)(40.738724857142856, -73.8788302))"
70,C4:2,"POLYGON((40.738724857142856, -73.8725834)(40.738724857142856, -73.8663366)(40.73108757142857, -73.8663366)(40.73108757142857, -73.8725834)(40.738724857142856, -73.8725834))"
70,C4:3,"POLYGON((40.738724857142856, -73.8663366)(40.738724857142856, -73.8600898)(40.73108757142857, -73.8600898)(40.73108757142857, -73.8663366)(40.738724857142856, -73.8663366))"
70,C4:4,"POLYGON((40.738724857142856, -73.8600898)(40.738724857142856, -73.853843)(40.73108757142857, -73.853843)(40.73108757142857, -73.8600898)(40.738724857142856, -73.8600898))"
