p_id,point
ChIJjWhemKoxK4gRMlk7IgTuT6g,POINT(43.728268 -79.5138751)
ChIJJZZ515wxK4gR3kVIB5bRK9s,POINT(43.7275406 -79.4828571)
ChIJk-GcV6YxK4gR13K2ckbW0JY,POINT(43.729582 -79.501485)
ChIJK0soKqoxK4gR1nmLFYpO2Cs,POINT(43.7295215 -79.5098911)
ChIJk3CuJZExK4gREDB9XM86Pto,POINT(43.7375441 -79.4864214)
ChIJk5keKp0xK4gRveVgw3_oB_I,POINT(43.727167 -79.481974)
ChIJk9Rnq5AxK4gRmEjtD8aLe8I,POINT(43.7350853 -79.4871981)
ChIJKaWkyJoxK4gR9PpaCQOIDYI,POINT(43.732885 -79.4823135)
ChIJkf3YVJ8xK4gRO6JchVmfhXw,POINT(43.7295816 -79.4943807)
ChIJKfNVA5wxK4gR5GaAz-_Ls2w,POINT(43.7295021 -79.4869199)
ChIJKfpfWJ4xK4gRX2D_wLIFluE,POINT(43.7278333 -79.4891718)
ChIJKzXUaZsxK4gR4movshaxDRU,POINT(43.7312289 -79.4834113)
ChIJKzXUaZsxK4gRdpekvGqwoG0,POINT(43.7312289 -79.4834113)
ChIJKzXUaZsxK4gRfEeiIGtcRFE,POINT(43.7312289 -79.4834113)
ChIJKzXUaZsxK4gRFFkN-GjZu0Q,POINT(43.7312289 -79.4834113)
ChIJKzXUaZsxK4gRKGXYGpuutfg,POINT(43.731229 -79.483411)
ChIJKzXUaZsxK4gRlAdbQEv_d2c,POINT(43.7312289 -79.4834113)
ChIJKzXUaZsxK4gRN68wpgLe5wM,POINT(43.7312289 -79.4834113)
ChIJKzXUaZsxK4gRxXmyZvZ2Meo,POINT(43.7312289 -79.4834113)
ChIJKzXUaZsxK4gRZwYJoi-eVcs,POINT(43.7304919 -79.4833247)
ChIJL0UK1pwxK4gREbyXREZchHA,POINT(43.727289 -79.481997)
ChIJL1onrbMxK4gR6Xq6d5i9w8Q,POINT(43.739485 -79.5120389)
ChIJl1U1EpgxK4gRDn-WsPypAhg,POINT(43.7343005 -79.4920079)
ChIJL4ppB6oxK4gRpsT-nNmY-lc,POINT(43.7275247 -79.5102038)
ChIJl7419JYxK4gR_Wi3VyMxwQA,POINT(43.7383919 -79.4898828)
ChIJl8QLFp0xK4gRs1AHH2Qvi1g,POINT(43.7266714 -79.4831805)
ChIJLR0gqKgxK4gRarlXV05nMfM,POINT(43.731082 -79.5041084)
ChIJLRm3AZExK4gRc9JM1U-NHDA,POINT(43.737038 -79.48466)
ChIJLXXKdJ4xK4gRU2TWF6W3fX8,POINT(43.7265686 -79.487507)
ChIJlZh6EgAxK4gRlIEBIn3Z9lw,POINT(43.727368 -79.514069)
ChIJlZjlsKUxK4gRn8-mG-Ravuc,POINT(43.7327755 -79.5015257)
ChIJm0jjY5kxK4gRREFrY0U11D8,POINT(43.731608 -79.4875668)
ChIJmbPd2LExK4gRP-G5qy7mIME,POINT(43.7368857 -79.5079297)
ChIJmf2s4rIxK4gRMXoj4RQYWXc,POINT(43.7394969 -79.5143565)
ChIJmVoQ8aExK4gR88E91EpcEgo,POINT(43.730372 -79.4938746)
ChIJMYeQtqYxK4gR04eyzqSgJ8k,POINT(43.730173 -79.498906)
ChIJn0xQ7a0xK4gRqj3b1b1zn-M,POINT(43.736424 -79.5111929)
ChIJnQfUOpgxK4gRwusucXbbVcs,POINT(43.7345494 -79.4909453)
ChIJnQWpwcUxK4gRfno7bTWmv_0,POINT(43.7266924 -79.483115)
ChIJNTbMc6kxK4gR05Zzdh_MqIo,POINT(43.7301219 -79.5098324)
ChIJNW_HrK4xK4gRT-WvQsiLBAw,POINT(43.7321142 -79.5092748)
ChIJn_lACJ8xK4gRfBIHJSDLMVs,POINT(43.7281502 -79.4908921)
ChIJO1FxUaYxK4gRnDZhvFsu8NE,POINT(43.729414 -79.501824)
ChIJO2LCw6UxK4gRk4lMiBHgsUY,POINT(43.7322922 -79.5025957)
ChIJO300rqMxK4gR83ufPXbkwLs,POINT(43.7330849 -79.4967567)
ChIJo4MM0LMxK4gRCHSltj7LsBc,POINT(43.7398498 -79.5103699)
ChIJOX8IKZ0xK4gRBJn6z0ZGy1Y,POINT(43.7272257 -79.4820703)
ChIJPanJDJ0xK4gRWN4j4SGNosQ,POINT(43.7263104 -79.483865)
ChIJpb7kQpsxK4gRf8KxdD1MF38,POINT(43.7310824 -79.4826468)
ChIJpT3zkZoxK4gRHjWc-IIWk94,POINT(43.7337282 -79.4833404)
ChIJpYPmPZ0xK4gRNGX4otDcCpM,POINT(43.7264551 -79.482977)
ChIJPz547JwxK4gR79BwbLNhVqk,POINT(43.7283603 -79.4834012)
ChIJp_d0Op0xK4gRWe8kHThdYFI,POINT(43.726454 -79.482355)
ChIJq-vQaZsxK4gRBp4l_VC1Mdw,POINT(43.730468 -79.483072)
ChIJq3R92pwxK4gRBW50T7BpgMw,POINT(43.7275406 -79.4828571)
ChIJq6p-lJoxK4gRGW6LQ0JOEoQ,POINT(43.7334443 -79.4833734)
ChIJq6rblpoxK4gR6CSdrBA7_zw,POINT(43.7336912 -79.4833404)
ChIJQcv1NZ0xK4gR9KctLOl74qo,POINT(43.7261061 -79.4820085)
ChIJQfZtSZsxK4gRtqDTU_B7_qs,POINT(43.7305201 -79.4819964)
ChIJQT7yUboxK4gRIFkwwbQkUNY,POINT(43.7391184 -79.5017436)
ChIJqxUB_QkxK4gR896pD5GB8go,POINT(43.7263027 -79.4990521)
ChIJqZ6dVZAxK4gRYjM6TB9GH0A,POINT(43.7367522 -79.4843929)
ChIJQzU4wa0xK4gRkwKrxlil6L8,POINT(43.7355735 -79.5109983)
ChIJqzzD2KUxK4gRpkijgO7OpmA,POINT(43.7313905 -79.5020251)
ChIJr-niTwAxK4gRGghEMRiE6U0,POINT(43.7259585 -79.5132979)
ChIJR8-IS5MxK4gReg8dA7Qz8go,POINT(43.7346488 -79.4839353)
ChIJrb9__5AxK4gR9mUrK3T6b74,POINT(43.7365756 -79.4844674)
ChIJRdSTyq0xK4gRxyt1VHExxcI,POINT(43.7347606 -79.511098)
ChIJreU2MoUxK4gRNiOwrpiV1-E,POINT(43.7324893 -79.4819857)
ChIJRfaNV4MxK4gRAgsEuCP7yjA,POINT(43.7294572 -79.480892)
ChIJrQkYQpsxK4gRyr7uziDqqTM,POINT(43.7305405 -79.4829545)
ChIJRRd31rMxK4gR_p6BUdT2QgY,POINT(43.7396002 -79.5098832)
ChIJRRQ4NOZLV0ARVoN_ll6Vd4I,POINT(43.7332126 -79.4961847)
ChIJrUmnhakxK4gRDqWJU4sH3SY,POINT(43.729251 -79.5092327)
ChIJrY-FRZcxK4gRpk05queTL_Q,POINT(43.7356663 -79.4879945)
ChIJRZapbqkxK4gRPv8pWfqGeVM,POINT(43.7304881 -79.5087334)
ChIJS1Ov9wcxK4gRIAqnOIDiPlM,POINT(43.7268555 -79.5049685)
ChIJs5ci8LIxK4gRwnUqH16VKQk,POINT(43.738927 -79.513231)
ChIJS6xsVZAxK4gRtEpQmztchVo,POINT(43.736829 -79.484363)
ChIJS9P4gKkxK4gR-WLcsvoVB-8,POINT(43.7292292 -79.5092557)
ChIJsacaxJwxK4gRyyT2_6XNDfE,POINT(43.7281388 -79.4826452)
ChIJscUIpa0xK4gR8OdQLj9Somk,POINT(43.7354125 -79.5120394)
ChIJSel2KqIxK4gRKZ9qMyx_XWE,POINT(43.730857 -79.495463)
ChIJSRYOdgcxK4gRjqDtDdkDl9A,POINT(43.7263188 -79.5070044)
ChIJsVb0wZ0xK4gR76VKhsZyHoQ,POINT(43.7264948 -79.4861948)
ChIJsVjzDakxK4gRwWaUBErJT1g,POINT(43.7301693 -79.5081009)
ChIJsw0hXKoxK4gRCwxJ3kb9nK8,POINT(43.7290661 -79.5122012)
ChIJsWHmyZcxK4gR9uAzre0FRBw,POINT(43.7371771 -79.4915338)
ChIJswKqQaYxK4gRX7gwpjLpXYQ,POINT(43.7301727 -79.5026296)
ChIJt5Ac0JcxK4gR-MbF9IWeR3A,POINT(43.7371664 -79.4922975)
ChIJt6zk1bMxK4gRXzD3CD9k7ps,POINT(43.739555 -79.509799)
ChIJtdXCH64xK4gRpHbBEN7MVPk,POINT(43.7367667 -79.5084553)
ChIJtftEQpwxK4gRsOeoab9Wgbo,POINT(43.7286571 -79.4853918)
ChIJtR2VjrExK4gRgxfmYYg5ZJw,POINT(43.7384275 -79.509317)
ChIJTRqGQqYxK4gRnPjN4glRP0M,POINT(43.730202 -79.5022092)
ChIJtShO2akxK4gRp6uJK6FmGB4,POINT(43.7275518 -79.507996)
ChIJtXwDeq8xK4gRdUGVldLjlpw,POINT(43.7338679 -79.5044768)
ChIJtZb0d6cxK4gRb8nX6jRfZzQ,POINT(43.7272353 -79.5012494)
