id,distance,time,trajectory
74,0.5 km,1 min,"[(43.7371 -79.48895,43.7371 -79.48891,43.7371 -79.48887,43.73711 -79.48882,43.73724439000955 -79.48822609348227,43.73737878001911 -79.48763218563158,43.73742 -79.48745,43.73745 -79.4873,43.73746 -79.48729,43.73747 -79.48727,43.73748 -79.48725,43.7375 -79.48723,43.7375 -79.48723,43.73747 -79.48719,43.73743 -79.48715,43.73741 -79.48714,43.73739 -79.48713,43.73736 -79.48712,43.73734 -79.48711,43.73689652038618 -79.4870071637182,43.73665 -79.48695,43.736206534020326 -79.48684705233727,43.73609 -79.48682,43.73564750040764 -79.48670937428048,43.73521 -79.4866,43.73521 -79.4866,43.73519 -79.48671,43.73516 -79.48687,43.735023193684924 -79.48746282813617,43.73501 -79.48752,43.735 -79.4876,43.73498 -79.48769,43.73496 -79.48779)]"
75,3.0 km,7 mins,"[(43.73318 -79.49379,43.73305 -79.49373,43.73261907395015 -79.49355224186031,43.73225 -79.4934,43.73225 -79.4934,43.73211756195124 -79.49399469628948,43.731985123902504 -79.49458939126386,43.73185268585377 -79.49518408492315,43.73174 -79.49569,43.73174 -79.49569,43.73186 -79.49575,43.7319 -79.49577,43.73194 -79.4958,43.73197 -79.49583,43.732 -79.49587,43.73202 -79.4959,43.73205 -79.49595,43.73207 -79.49601,43.73208 -79.49608,43.73211 -79.4962,43.73214 -79.49639,43.73217 -79.49652,43.73221 -79.49671,43.73223 -79.49686,43.73227 -79.49707,43.7323 -79.49722,43.73233 -79.49737,43.73236 -79.49754,43.73238 -79.49765,43.73239 -79.49772,43.73239 -79.49776,43.73239 -79.49782,43.73239 -79.4979,43.73238 -79.49798,43.73235 -79.49827,43.73232 -79.49857,43.73232 -79.4986,43.73225663380589 -79.49921609102647,43.73219326761177 -79.49983218140108,43.73214 -79.50035,43.73211 -79.50065,43.7321 -79.50079,43.73209 -79.50083,43.73209 -79.50086,43.73208 -79.5009,43.73206 -79.50094,43.73204 -79.501,43.73194 -79.50121,43.73185 -79.50143,43.73169 -79.50179,43.73163 -79.50192,43.73159 -79.50202,43.73156 -79.5021,43.73153 -79.50216,43.73152 -79.50223,43.73149 -79.50233,43.73145 -79.5025,43.73142 -79.50265,43.73139 -79.50278,43.73133 -79.50301,43.73128 -79.50327,43.73114 -79.50385,43.73102 -79.50436,43.73088929883066 -79.50495541958355,43.73084 -79.50518,43.73070286579515 -79.50577264025524,43.73056573159031 -79.50636527915354,43.73042859738548 -79.5069579166949,43.73029146318065 -79.50755055287932,43.73028 -79.5076,43.73014903498471 -79.50819530118248,43.73006 -79.5086,43.73001 -79.5088,43.72998 -79.50893,43.72994 -79.50906,43.72989 -79.50919,43.7297 -79.50956,43.72961 -79.50971,43.72953 -79.50986,43.72948 -79.50998,43.72944 -79.51008,43.72944 -79.51009,43.72941 -79.51016,43.72939 -79.51025,43.72936 -79.51038,43.72934 -79.51048,43.72932 -79.51061,43.72932 -79.51061,43.72966 -79.51069,43.72994 -79.51076,43.73012 -79.51081,43.73016 -79.51082,43.73060347835269 -79.51092283513083,43.73085 -79.51098,43.7312 -79.51106,43.7314 -79.5111,43.73168 -79.51117,43.73183 -79.5112,43.73211 -79.51127,43.73231 -79.51131,43.7325 -79.51136,43.7327 -79.51142,43.73281 -79.51144,43.73303 -79.5115,43.73347414691958 -79.51159715681695,43.73367 -79.51164,43.73401 -79.51171,43.73413 -79.51174,43.7344 -79.5118,43.73459 -79.51185,43.73459 -79.51185,43.73468 -79.51147,43.73480890960052 -79.51087379513558,43.73484 -79.51073,43.73497471648846 -79.5101362576938,43.73510943297692 -79.50954251405189,43.73511 -79.50954,43.735241550244574 -79.50894489669516,43.73532 -79.50859,43.73534 -79.50849,43.73534 -79.50849,43.73544 -79.50852,43.73556 -79.50855,43.73587 -79.50863,43.73631129103178 -79.50874951624236,43.73635 -79.50876,43.73659 -79.50882,43.73668 -79.50884,43.73674 -79.50886,43.7368 -79.50888,43.73698 -79.50893,43.73716 -79.50898,43.73751 -79.50907,43.73791 -79.50918,43.73831 -79.50929,43.73854 -79.50935,43.738981540438395 -79.50946774379952,43.73914 -79.50951,43.73931 -79.50955,43.73938 -79.50957,43.73941 -79.50958,43.73965 -79.50965,43.73965 -79.50965,43.73973 -79.50969,43.73968 -79.50993)]"
76,2.4 km,6 mins,"[(43.72986 -79.50608,43.729430751103074 -79.5058946424869,43.72942 -79.50589,43.72942 -79.50589,43.72936 -79.50618,43.729220341702174 -79.5067714956702,43.72919 -79.5069,43.72917 -79.50696,43.72916 -79.50699,43.72916 -79.50702,43.72916 -79.50705,43.72916 -79.50707,43.72917 -79.50711,43.72917 -79.50713,43.72917 -79.50714,43.72918 -79.50715,43.72919 -79.50717,43.7292 -79.50718,43.72922 -79.50719,43.72924 -79.5072,43.72927 -79.50721,43.72933 -79.50722,43.72939 -79.50723,43.72947 -79.50725,43.72956 -79.50728,43.72998812372658 -79.50747027623673,43.73028 -79.5076,43.73028 -79.5076,43.73014903498471 -79.50819530118248,43.73006 -79.5086,43.73001 -79.5088,43.72998 -79.50893,43.72994 -79.50906,43.72989 -79.50919,43.7297 -79.50956,43.72961 -79.50971,43.72953 -79.50986,43.72948 -79.50998,43.72944 -79.51008,43.72944 -79.51009,43.72941 -79.51016,43.72939 -79.51025,43.72936 -79.51038,43.72934 -79.51048,43.72932 -79.51061,43.72932 -79.51061,43.72966 -79.51069,43.72994 -79.51076,43.73012 -79.51081,43.73016 -79.51082,43.73060347835269 -79.51092283513083,43.73085 -79.51098,43.7312 -79.51106,43.7314 -79.5111,43.73168 -79.51117,43.73183 -79.5112,43.73211 -79.51127,43.73231 -79.51131,43.7325 -79.51136,43.7327 -79.51142,43.73281 -79.51144,43.73303 -79.5115,43.73347414691958 -79.51159715681695,43.73367 -79.51164,43.73401 -79.51171,43.73413 -79.51174,43.7344 -79.5118,43.73459 -79.51185,43.7350336768856 -79.51195118924878,43.73516 -79.51198,43.73525 -79.512,43.73557 -79.51208,43.73587 -79.51215,43.73611 -79.51221,43.7365 -79.51232,43.73683 -79.51241,43.73711 -79.51248,43.73736 -79.51255,43.73763 -79.51263,43.73803 -79.51274,43.73825 -79.5128,43.73845 -79.51285,43.73866 -79.51292,43.73884 -79.51297,43.739280202204334 -79.5130969812322,43.73936 -79.51312,43.73946 -79.51314,43.73956 -79.51317,43.73988 -79.51325,43.74007 -79.5133,43.74025 -79.51335,43.74063 -79.51344,43.74079 -79.51349,43.74083 -79.5135,43.74088 -79.51351,43.74092 -79.51352,43.74125 -79.5136,43.74125 -79.5136,43.74131 -79.51341,43.74131 -79.51339,43.74133 -79.51334,43.74136 -79.51324,43.74138 -79.51316,43.74141 -79.51311,43.74164 -79.51261,43.74177 -79.51235,43.74198 -79.5119,43.74208 -79.51169,43.74214 -79.51155,43.74214 -79.51155,43.74206 -79.51148,43.74193 -79.51137,43.741542213573965 -79.51105492197284,43.74129 -79.51085,43.74123 -79.51081,43.74118 -79.51078,43.74075045864511 -79.5105959097509,43.74041 -79.51045,43.74041 -79.51045,43.74029 -79.51104,43.74028 -79.51107,43.74027 -79.51108,43.74026 -79.51109,43.74025 -79.5111,43.74024 -79.5111,43.74023 -79.5111,43.74021 -79.51109,43.73978227952743 -79.51089796202653,43.73972 -79.51087)]"
77,2.2 km,5 mins,"[(43.73786 -79.50406,43.73742942738201 -79.5038805945877,43.73738 -79.50386,43.73738 -79.50386,43.73741 -79.50371,43.73749 -79.50342,43.73752 -79.50331,43.73753 -79.50325,43.73754 -79.5032,43.73768 -79.50272,43.73781 -79.50228,43.73783 -79.50222,43.73786 -79.50213,43.73792 -79.50203,43.73818066997163 -79.50152288329002,43.738441339943236 -79.50101576437231,43.73847 -79.50096,43.73848 -79.50094,43.73849 -79.50091,43.7385 -79.50089,43.73851 -79.50086,43.73852 -79.50082,43.73862 -79.50039,43.73864 -79.50028,43.73864 -79.50028,43.73871 -79.5003,43.73906 -79.50045,43.73915 -79.50048,43.73923 -79.50052,43.73945 -79.50061,43.73988019585415 -79.50079113465395,43.74002 -79.50085,43.74012 -79.5009,43.74055028754407 -79.50108071896967,43.74098057508812 -79.50126143923816,43.74112 -79.50132,43.74114 -79.50133,43.74121 -79.50136,43.74132 -79.5014,43.74147 -79.50147,43.74147 -79.50147,43.74160389632302 -79.50087583665699,43.74163 -79.50076,43.74176614127596 -79.50016681323956,43.74177 -79.50015,43.74190397257242 -79.4995558666101,43.742 -79.49913,43.74207 -79.49879,43.74220518027108 -79.49819638795951,43.7423 -79.49778,43.74243299412011 -79.49718544033573,43.74247 -79.49702,43.74258996928665 -79.49642015356909,43.74259 -79.49642,43.74259 -79.49642,43.74252 -79.49639,43.74236 -79.49634,43.74215 -79.49628,43.74201 -79.49626,43.74184 -79.49622,43.74169 -79.49621,43.74146 -79.49618,43.74138 -79.49616,43.74128 -79.49614,43.7411 -79.49606,43.74099 -79.49602,43.74088 -79.49596,43.74073 -79.4959,43.7406 -79.49584,43.74051 -79.49577,43.7404 -79.49567,43.74031 -79.49557,43.74018 -79.49541,43.74005 -79.49525,43.73973 -79.49485,43.73962 -79.49473,43.7395 -79.49458,43.73942 -79.49451,43.73936 -79.49445,43.73929 -79.49438,43.7391 -79.49423,43.73886 -79.49408,43.73876 -79.49402,43.73859 -79.49395,43.73846 -79.49391,43.73828 -79.49386,43.73821 -79.49384,43.73815 -79.49383,43.73803 -79.49383,43.73786 -79.49386,43.7377 -79.49391,43.73747 -79.49401,43.73731 -79.49407,43.7371 -79.49417,43.73703 -79.49423,43.73694 -79.49431,43.73687 -79.49441,43.73661 -79.49471,43.73645 -79.49492,43.73636 -79.49507,43.7362 -79.49536,43.73608 -79.49561,43.73602 -79.49573,43.73596 -79.49583,43.7359 -79.49592,43.73582 -79.49601,43.73567 -79.49618,43.73567 -79.49618,43.73564 -79.49625,43.73563 -79.49629,43.73562 -79.49634,43.73562 -79.4964,43.73562 -79.49647,43.73563 -79.49655,43.73566 -79.49665,43.73568 -79.4967,43.73571 -79.49677,43.73574 -79.49683,43.7358 -79.49691,43.73597 -79.49716,43.7361 -79.49736,43.7362 -79.49751,43.73625 -79.4976,43.73629 -79.49769,43.73631 -79.49774)]"
78,1.0 km,3 mins,"[(43.7313 -79.51073,43.73116 -79.51066,43.73112 -79.51065,43.73109 -79.51065,43.73102 -79.51065,43.73098 -79.51066,43.73093 -79.51066,43.73093 -79.51066,43.73088 -79.51079,43.73085 -79.51098,43.73085 -79.51098,43.7312 -79.51106,43.7314 -79.5111,43.73168 -79.51117,43.73183 -79.5112,43.73211 -79.51127,43.73231 -79.51131,43.7325 -79.51136,43.7327 -79.51142,43.73281 -79.51144,43.73303 -79.5115,43.73347414691958 -79.51159715681695,43.73367 -79.51164,43.73401 -79.51171,43.73413 -79.51174,43.7344 -79.5118,43.73459 -79.51185,43.73459 -79.51185,43.73468 -79.51147,43.73480890960052 -79.51087379513558,43.73484 -79.51073,43.73497471648846 -79.5101362576938,43.73510943297692 -79.50954251405189,43.73511 -79.50954,43.735241550244574 -79.50894489669516,43.73532 -79.50859,43.73534 -79.50849,43.73541 -79.50802,43.7355 -79.50748,43.73557 -79.50705,43.7356 -79.50689,43.73561 -79.50684,43.73563 -79.50678,43.73564 -79.50675,43.73565 -79.50671,43.73567 -79.50668,43.7357 -79.50662,43.73574 -79.50658,43.73578 -79.50652,43.736 -79.50623,43.73609 -79.50612,43.73613 -79.50606,43.73613 -79.50606,43.7363 -79.5063)]"
79,2.6 km,6 mins,"[(43.72819 -79.51254,43.72821 -79.51256,43.72822 -79.51258,43.72825 -79.5126,43.72828 -79.51262,43.72831 -79.51263,43.728743038174954 -79.51279762713692,43.72893 -79.51287,43.72893 -79.51287,43.729049945073676 -79.51227027991159,43.72912 -79.51192,43.72914 -79.51184,43.72915 -79.51177,43.72916 -79.51171,43.72917 -79.51165,43.72918 -79.51153,43.72922 -79.51127,43.72926 -79.51092,43.72927 -79.51086,43.72929 -79.51076,43.72929 -79.51076,43.72932 -79.51061,43.72934 -79.51048,43.72936 -79.51038,43.72939 -79.51025,43.72941 -79.51016,43.72944 -79.51009,43.72944 -79.51008,43.72948 -79.50998,43.72953 -79.50986,43.72961 -79.50971,43.7297 -79.50956,43.72989 -79.50919,43.72994 -79.50906,43.72998 -79.50893,43.73001 -79.5088,43.73006 -79.5086,43.73019096711563 -79.50800470058739,43.73028 -79.5076,43.7304171436462 -79.50700736811315,43.730554287292385 -79.50641473486928,43.73069143093856 -79.50582210026838,43.730828574584734 -79.50522946431043,43.73084 -79.50518,43.73097070233511 -79.50458458139666,43.73102 -79.50436,43.73114 -79.50385,43.73128 -79.50327,43.73133 -79.50301,43.73139 -79.50278,43.73142 -79.50265,43.73145 -79.5025,43.73149 -79.50233,43.73152 -79.50223,43.73153 -79.50216,43.73156 -79.5021,43.73159 -79.50202,43.73163 -79.50192,43.73169 -79.50179,43.73185 -79.50143,43.73194 -79.50121,43.73204 -79.501,43.73206 -79.50094,43.73208 -79.5009,43.73209 -79.50086,43.73209 -79.50083,43.7321 -79.50079,43.73211 -79.50065,43.73214 -79.50035,43.73220337228451 -79.49973391137313,43.73226674456901 -79.49911782209433,43.73232 -79.4986,43.73232 -79.49857,43.73235 -79.49827,43.73238 -79.49798,43.73239 -79.4979,43.73239 -79.49782,43.73239 -79.49776,43.73239 -79.49772,43.73238 -79.49765,43.73236 -79.49754,43.73233 -79.49737,43.7323 -79.49722,43.73227 -79.49707,43.73223 -79.49686,43.73221 -79.49671,43.73217 -79.49652,43.73214 -79.49639,43.73211 -79.4962,43.73208 -79.49608,43.73207 -79.49601,43.73205 -79.49595,43.73202 -79.4959,43.732 -79.49587,43.73197 -79.49583,43.73194 -79.4958,43.7319 -79.49577,43.73186 -79.49575,43.73174 -79.49569,43.73174 -79.49569,43.731872446838224 -79.49509531120867,43.73200489367644 -79.49450062110218,43.732137340514655 -79.49390592968051,43.73225 -79.4934,43.73225 -79.4934,43.731820151998484 -79.49321731341702,43.73145 -79.49306,43.73145 -79.49306,43.731579546931506 -79.49246409193441,43.7317 -79.49191,43.73173 -79.49179,43.73182 -79.49141,43.7319 -79.49102,43.73199 -79.49065,43.73201 -79.49052,43.73202 -79.49035,43.73203 -79.49026,43.73204 -79.49013,43.73205 -79.48998,43.73205 -79.48989,43.73206 -79.48979,43.73208 -79.48965,43.73212 -79.48947,43.73215 -79.4893,43.73218 -79.48917,43.732316801845236 -79.48857719803303,43.73242 -79.48813,43.73242 -79.48813,43.73198802107243 -79.48795720762338,43.73172 -79.48785,43.7317 -79.48784,43.73167 -79.48782,43.73165 -79.4878,43.73163 -79.48777,43.73162 -79.48774,43.73161 -79.4877,43.7316 -79.48766,43.7316 -79.48762,43.73161 -79.48757,43.731732926258935 -79.48697141026048,43.73184 -79.48645,43.73184 -79.48645,43.731407808469044 -79.48627823053238,43.73106 -79.48614,43.73106 -79.48614,43.73096 -79.4866)]"
80,4.3 km,9 mins,"[(43.73668 -79.49656,43.73679 -79.49653,43.73684 -79.49655,43.73696 -79.4966,43.73708 -79.49667,43.73717 -79.49672,43.73729 -79.49682,43.73736 -79.49689,43.73744 -79.49698,43.7375 -79.49706,43.73757 -79.49715,43.73765 -79.49728,43.73771 -79.4974,43.73777 -79.49752,43.73779 -79.49758,43.73781 -79.49764,43.73783 -79.4977,43.73785 -79.49775,43.73787 -79.49782,43.73788 -79.49786,43.7379 -79.49792,43.73791 -79.49798,43.73792 -79.49804,43.73794 -79.49813,43.73795 -79.49826,43.73798 -79.49845,43.73798 -79.49855,43.738 -79.49873,43.73803 -79.49901,43.73806 -79.49931,43.73807 -79.49942,43.73808 -79.49955,43.73809 -79.49961,43.7381 -79.49966,43.73811 -79.4997,43.73813 -79.49975,43.73814 -79.4998,43.73816 -79.49984,43.73818 -79.49989,43.73821 -79.49994,43.73825 -79.5,43.73828 -79.50004,43.7383 -79.50006,43.73832 -79.50009,43.73836 -79.50012,43.73838 -79.50014,43.7384 -79.50015,43.73843 -79.50017,43.73847 -79.5002,43.73864 -79.50028,43.73871 -79.5003,43.73906 -79.50045,43.73915 -79.50048,43.73923 -79.50052,43.73945 -79.50061,43.73988019585415 -79.50079113465395,43.74002 -79.50085,43.74012 -79.5009,43.74055028754407 -79.50108071896967,43.74098057508812 -79.50126143923816,43.74112 -79.50132,43.74114 -79.50133,43.74121 -79.50136,43.74132 -79.5014,43.74147 -79.50147,43.74147 -79.50147,43.74160389632302 -79.50087583665699,43.74163 -79.50076,43.74176614127596 -79.50016681323956,43.74177 -79.50015,43.74190397257242 -79.4995558666101,43.742 -79.49913,43.74207 -79.49879,43.74220518027108 -79.49819638795951,43.7423 -79.49778,43.74243299412011 -79.49718544033573,43.74247 -79.49702,43.74258996928665 -79.49642015356909,43.74259 -79.49642,43.7427 -79.49594,43.74278 -79.49559,43.74285 -79.49526,43.74292 -79.49496,43.74294 -79.49488,43.74305 -79.49433,43.74308 -79.49421,43.74319 -79.49372,43.743322202173594 -79.4931250932039,43.74337 -79.49291,43.74346 -79.49253,43.74353 -79.4922,43.74362 -79.49178,43.74375072787607 -79.49118446504262,43.7438 -79.49096,43.74387 -79.49067,43.74389 -79.49059,43.74395 -79.49032,43.74402 -79.48999,43.74413 -79.48949,43.74421 -79.48912,43.74424 -79.489,43.74426 -79.48889,43.74435 -79.48853,43.74439 -79.48833,43.7444 -79.48828,43.74443 -79.48816,43.74445 -79.48806,43.74448 -79.48791,43.74455 -79.48756,43.74457 -79.48745,43.74458 -79.48736,43.74461 -79.48718,43.74471902979941 -79.48657614455416,43.74474 -79.48646,43.74474 -79.48646,43.74429690255752 -79.48635404188556,43.74428 -79.48635,43.74407 -79.48629,43.74386 -79.48624,43.74362 -79.48617,43.74344 -79.48612,43.74327 -79.48608,43.74288 -79.48599,43.74254 -79.48591,43.74237 -79.48587,43.74206 -79.48579,43.741616667010206 -79.48568595151549,43.74117333402041 -79.48558190380146,43.74108 -79.48556,43.74099 -79.48553,43.74061 -79.48544,43.74025 -79.48535,43.73993 -79.48528,43.73956 -79.48519,43.73929 -79.48512,43.73916 -79.48509,43.73907 -79.48507,43.73862699054223 -79.4849633493996,43.73853 -79.48494,43.7383 -79.48488,43.7379 -79.48479,43.73745690402469 -79.48468404223641,43.73744 -79.48468,43.73719 -79.48461,43.737 -79.48457,43.73692 -79.48455,43.73647721742447 -79.48444156336404,43.73643 -79.48443,43.73638 -79.48442,43.73634 -79.48441,43.73632 -79.4844,43.73631 -79.48439,43.73628 -79.48437,43.73625 -79.48433,43.73615 -79.48431,43.735707776889015 -79.48419727633215,43.73564 -79.48418,43.73519680592987 -79.48407483504378,43.73505 -79.48404,43.73465 -79.48394,43.73436 -79.48388,43.73407 -79.48381,43.73395 -79.48378,43.73358 -79.4837,43.73314 -79.48358,43.73289 -79.48352,43.73271 -79.48348,43.7322668827902 -79.48337422164974,43.73182376558041 -79.48326844408211,43.731380648370624 -79.48316266729711,43.73116 -79.48311,43.73116 -79.48311,43.73103737492502 -79.4837087023162,43.73099 -79.48394,43.730871881944985 -79.48454043359241,43.73087 -79.48455,43.73087 -79.48455,43.73065 -79.48447,43.73058 -79.48445,43.73057 -79.48445,43.73056 -79.48445,43.73055 -79.48445,43.73054 -79.48445,43.73052 -79.48446,43.73051 -79.48446,43.73051 -79.48447,43.7305 -79.48448,43.7305 -79.48449,43.73049 -79.48451,43.73046 -79.48464,43.73032474997247 -79.48523346518134,43.730189499944956 -79.48582692902252,43.73005424991744 -79.48642039152357,43.72997 -79.48679,43.7299 -79.48708,43.729771101946504 -79.48767616077903,43.72966 -79.48819,43.72952601576242 -79.48878400688172,43.72939203152484 -79.48937801243464,43.72936 -79.48952,43.72936 -79.48952,43.72893026095635 -79.48933683196138,43.72875 -79.48926,43.72868 -79.48923,43.72867 -79.48923,43.72865 -79.48923,43.72864 -79.48923,43.72863 -79.48923,43.72862 -79.48924,43.7286 -79.48925,43.72859 -79.48927,43.72858 -79.48929,43.72857 -79.48932,43.72855 -79.4894,43.72845 -79.48984,43.7284 -79.49004)]"
81,0.5 km,2 mins,"[(43.72776 -79.48431,43.72813 -79.48447,43.72813 -79.48447,43.72799647763325 -79.48506419084299,43.7278629552665 -79.48565838036143,43.72773 -79.48625,43.72773 -79.48625,43.728158575493296 -79.48643831271008,43.72839 -79.48654,43.72839 -79.48654,43.72845 -79.48629,43.7285853401891 -79.48569659275897,43.72871 -79.48515,43.7288 -79.48479,43.72883 -79.48469,43.72887 -79.48461,43.72892 -79.48452,43.72899 -79.48442,43.72904 -79.48433,43.72907 -79.4843,43.72909 -79.48428,43.72912 -79.48426,43.72916 -79.48424,43.72919 -79.48424,43.72952 -79.48426,43.72957 -79.48426,43.72959 -79.48428,43.7296 -79.48429,43.72962 -79.4843,43.72963 -79.48432,43.72963 -79.48435,43.72964 -79.48438,43.72964 -79.48442,43.72963 -79.48447)]"
82,1.1 km,3 mins,"[(43.73962 -79.4871,43.73999 -79.4872,43.73999 -79.4872,43.740075863868476 -79.48658907080727,43.74016172773696 -79.4859781407384,43.74024759160543 -79.48536720979338,43.74025 -79.48535,43.74025 -79.48535,43.73993 -79.48528,43.73956 -79.48519,43.73929 -79.48512,43.73916 -79.48509,43.73907 -79.48507,43.73862699054223 -79.4849633493996,43.73853 -79.48494,43.7383 -79.48488,43.7379 -79.48479,43.73745690402469 -79.48468404223641,43.73744 -79.48468,43.73719 -79.48461,43.737 -79.48457,43.737 -79.48457,43.73693 -79.48473,43.73689 -79.48507,43.73680981140706 -79.48568237244784,43.736729622814124 -79.48629474407562,43.73667 -79.48675,43.73665 -79.48695,43.73665 -79.48695,43.736206534020326 -79.48684705233727,43.73609 -79.48682,43.73564750040764 -79.48670937428048,43.73521 -79.4866,43.73521 -79.4866,43.73519 -79.48671,43.73516 -79.48687,43.735023193684924 -79.48746282813617,43.73501 -79.48752,43.735 -79.4876,43.73498 -79.48769,43.73496 -79.48779,43.73495 -79.48789,43.73493 -79.48825)]"
83,0.9 km,2 mins,"[(43.73204 -79.49067,43.73246970310282 -79.49085333896339,43.73279 -79.49099,43.73279 -79.49099,43.73285 -79.49069,43.73298277358376 -79.49009543975085,43.7331155471675 -79.4895008781835,43.73324832075124 -79.48890631529798,43.73338109433497 -79.48831175109427,43.7335138679187 -79.48771718557236,43.73354 -79.4876,43.7336 -79.48732,43.73365 -79.48714,43.73378459168657 -79.48654621528239,43.73382 -79.48639,43.73385 -79.48626,43.73389 -79.48605,43.734020293140816 -79.485454379331,43.7341 -79.48509,43.73423545408395 -79.48449658654813,43.73431 -79.48417,43.73433 -79.48407,43.73436 -79.48388,43.73436 -79.48388,43.73465 -79.48394,43.73505 -79.48404,43.73549319410207 -79.48414516444058,43.73564 -79.48418,43.73608222312795 -79.48429272341266,43.73615 -79.48431,43.73625 -79.48433,43.73628 -79.48431,43.7363 -79.4843,43.73631 -79.48429,43.73633 -79.48429,43.73634 -79.48429)]"
84,1.7 km,5 mins,"[(43.73539 -79.49631,43.73542 -79.49629,43.73546 -79.49626,43.73549 -79.49625,43.73553 -79.49623,43.73559 -79.49622,43.73567 -79.49618,43.73582 -79.49601,43.7359 -79.49592,43.73596 -79.49583,43.73602 -79.49573,43.73608 -79.49561,43.7362 -79.49536,43.73636 -79.49507,43.73645 -79.49492,43.73661 -79.49471,43.73687 -79.49441,43.73694 -79.49431,43.73703 -79.49423,43.7371 -79.49417,43.73731 -79.49407,43.73747 -79.49401,43.7377 -79.49391,43.73786 -79.49386,43.73803 -79.49383,43.73815 -79.49383,43.73821 -79.49384,43.73828 -79.49386,43.73846 -79.49391,43.73859 -79.49395,43.73876 -79.49402,43.73886 -79.49408,43.7391 -79.49423,43.73929 -79.49438,43.73936 -79.49445,43.73942 -79.49451,43.7395 -79.49458,43.73962 -79.49473,43.73973 -79.49485,43.74005 -79.49525,43.74018 -79.49541,43.74031 -79.49557,43.7404 -79.49567,43.74051 -79.49577,43.7406 -79.49584,43.74073 -79.4959,43.74088 -79.49596,43.74099 -79.49602,43.7411 -79.49606,43.74128 -79.49614,43.74138 -79.49616,43.74146 -79.49618,43.74169 -79.49621,43.74184 -79.49622,43.74201 -79.49626,43.74215 -79.49628,43.74236 -79.49634,43.74252 -79.49639,43.74259 -79.49642,43.74259 -79.49642,43.74267 -79.49647,43.742535855951196 -79.4970640668574,43.74253 -79.49709,43.74249 -79.49728,43.74235826331859 -79.49787509633889,43.7422265266372 -79.4984701913683,43.7422 -79.49859,43.74208 -79.49913,43.74194695949772 -79.49972453627707,43.74181391899544 -79.50031907123298,43.74176 -79.50056,43.74171 -79.50081,43.74157258084864 -79.5014026213986,43.74155 -79.5015,43.74155 -79.5015,43.74147 -79.50147,43.74132 -79.5014,43.74121 -79.50136,43.74114 -79.50133,43.74112 -79.50132,43.74068971283293 -79.50113927759101,43.74025942566588 -79.50095855648081,43.74012 -79.5009,43.74002 -79.50085,43.73958980423882 -79.50066886450014,43.73945 -79.50061,43.73923 -79.50052,43.73915 -79.50048,43.73906 -79.50045,43.73871 -79.5003,43.73864 -79.50028,43.73847 -79.5002,43.73843 -79.50017,43.7384 -79.50015,43.73838 -79.50014)]"
85,0.8 km,2 mins,"[(43.72835 -79.48653,43.72792252710271 -79.48633694707024,43.72773 -79.48625,43.72773 -79.48625,43.72786352850945 -79.48565581444386,43.72799705701889 -79.48506162756313,43.72813 -79.48447,43.72824 -79.48399,43.72829 -79.48375,43.72840994318322 -79.48315028559556,43.72843 -79.48305,43.72855 -79.48253,43.72855 -79.48253,43.72857 -79.4824,43.72863 -79.48242,43.72875 -79.48245,43.72885 -79.48248,43.72909 -79.48254,43.72915 -79.48261,43.72945 -79.48269,43.72968 -79.48274,43.7299 -79.4828,43.73034 -79.4829,43.73074 -79.483,43.73116 -79.48311,43.73160315026024 -79.48321551088178,43.73204630052049 -79.48332102254429,43.73221 -79.48336)]"
